sample_id,rule_strategy_available,vlm_strategy_available,human_strategy_available
sample_0001,True,False,False
sample_0002,True,False,False
sample_0003,True,False,False
sample_0004,True,False,False
sample_0005,True,False,False
sample_0006,True,False,False
sample_0007,True,False,False
sample_0008,True,False,False
sample_0009,True,False,False
sample_0010,True,False,False
sample_0011,True,False,False
sample_0012,True,False,False
sample_0013,True,False,False
sample_0014,True,False,False
sample_0015,True,False,False
sample_0016,True,False,False
sample_0017,True,False,False
sample_0018,True,False,False
sample_0019,True,False,False
sample_0020,True,False,False
sample_0021,True,False,False
sample_0022,True,False,False
sample_0023,True,False,False
sample_0024,True,False,False
sample_0025,True,False,False
sample_0026,True,False,False
sample_0027,True,False,False
sample_0028,True,False,False
sample_0029,True,False,False
sample_0030,True,False,False
sample_0031,True,False,False
sample_0032,True,False,False
sample_0033,True,False,False
sample_0034,True,False,False
sample_0035,True,False,False
sample_0036,True,False,False
sample_0037,True,False,False
sample_0038,True,False,False
sample_0039,True,False,False
sample_0040,True,False,False
sample_0041,True,False,False
sample_0042,True,False,False
sample_0043,True,False,False
sample_0044,True,False,False
sample_0045,True,False,False
sample_0046,True,False,False
sample_0047,True,False,False
sample_0048,True,False,False
sample_0049,True,False,False
sample_0050,True,False,False
